Date,HDFCBANK.NS,^NSEBANK
2014-12-29,220.2586669921875,19057.580078125
2015-01-05,222.6203155517578,18637.033203125
2015-01-12,228.4844512939453,19222.927734375
2015-01-19,237.9423828125,20072.466796875
2015-01-26,245.8258514404297,19843.51953125
2015-02-02,240.3838653564453,19051.6796875
2015-02-09,243.1904296875,19369.474609375
2015-02-16,244.8446807861328,19073.328125
2015-02-23,240.49790954589844,19074.328125
2015-03-02,247.59423828125,19747.76953125
2015-03-09,237.9081268310547,18779.58203125
2015-03-16,240.93148803710938,18606.1328125
2015-03-23,231.5192108154297,18044.591796875
2015-03-30,235.7633056640625,18206.439453125
2015-04-06,237.9081268310547,18875.630859375
2015-04-13,232.3406219482422,18636.833984375
2015-04-20,229.64816284179688,18245.38671875
2015-04-27,225.6208038330078,18302.4375
2015-05-04,224.06924438476562,17376.69921875
2015-05-11,225.91744995117188,18115.98828125
2015-05-18,233.72108459472656,18512.935546875
2015-05-25,239.7107391357422,18721.1328125
2015-06-01,230.85748291015625,17549.046875
2015-06-08,230.26422119140625,17523.34765625
2015-06-15,235.1357879638672,17880.642578125
2015-06-22,242.5172882080078,18371.287109375
2015-06-29,245.11849975585938,18585.333984375
2015-07-06,250.75408935546875,18719.583984375
2015-07-13,255.305908203125,19094.4765625
2015-07-20,254.68528747558594,18635.6328125
2015-07-27,255.558837890625,18729.6328125
2015-08-03,251.19090270996094,18893.33203125
2015-08-10,253.29437255859375,18723.3828125
2015-08-17,243.9838104248047,18056.990234375
2015-08-24,236.31690979003906,17211.75
2015-08-31,228.98336791992188,16128.912109375
2015-09-07,232.30528259277344,16612.40625
2015-09-14,241.32855224609375,17408.947265625
2015-09-21,241.7078857421875,17255.099609375
2015-09-28,245.44363403320312,17216.1015625
2015-10-05,249.69659423828125,17590.044921875
2015-10-12,252.89212036132812,17912.640625
2015-10-19,254.83468627929688,17933.841796875
2015-10-26,252.7886505126953,17354.298828125
2015-11-02,248.48965454101562,16994.90234375
2015-12-14,246.67352294921875,16398.458984375
2016-01-11,239.58139038085938,15609.6181640625
2016-01-25,241.3515625,15560.9697265625
2016-02-08,223.31655883789062,15046.625
2016-02-15,227.4315948486328,14344.033203125
2016-02-22,220.9257049560547,13555.54296875
2016-04-04,243.53546142578125,16190.4111328125
2016-05-23,272.8351745605469,16997.251953125
2016-06-06,266.98443603515625,17828.392578125
2016-07-25,288.8421630859375,19076.328125
2016-11-07,295.7027587890625,20200.015625
2016-12-12,274.03155517578125,18312.587890625
2016-12-19,274.94708251953125,17883.79296875
2016-12-26,279.57098388671875,18176.98828125
2017-01-02,276.66217041015625,18263.787109375
2017-01-09,285.66680908203125,18911.87890625
2017-01-16,286.5591125488281,18820.58203125
2017-01-23,299.4344177246094,19708.072265625
2017-01-30,303.87298583984375,20196.56640625
2017-02-06,302.1462097167969,20213.666015625
2017-02-13,319.1703796386719,20551.111328125
2017-02-20,323.1685485839844,20876.408203125
2017-02-27,319.1587219238281,20495.361328125
2017-03-06,324.5128173828125,20727.310546875
2017-03-13,330.4811096191406,21174.8046875
2017-03-20,330.1334533691406,21122.3046875
2017-03-27,334.3517761230469,21443.900390625
2017-04-03,333.4942321777344,21430.900390625
2017-04-10,333.830322265625,21686.34765625
2017-04-17,346.87945556640625,21551.19921875
2017-04-24,358.44512939453125,22357.990234375
2017-05-01,355.1307067871094,22604.685546875
2017-05-08,359.63885498046875,22671.435546875
2017-05-15,361.8638916015625,22769.53515625
2017-05-22,376.87152099609375,23361.927734375
2017-05-29,378.7837219238281,23375.62890625
2017-06-05,386.32806396484375,23690.625
2017-06-12,386.8959655761719,23502.4765625
2017-06-19,389.0746765136719,23542.4765625
2017-06-26,382.909423828125,23210.9296875
2017-07-03,388.988525390625,23448.876953125
2017-07-10,391.9632568359375,23937.421875
2017-07-17,397.3529968261719,24256.76953125
2017-07-24,414.956787109375,24811.01171875
2017-07-31,417.69830322265625,24827.16015625
2017-08-07,408.0856018066406,23985.470703125
2017-08-14,408.8088684082031,24074.169921875
2017-08-21,411.2237243652344,24273.91796875
2017-08-28,412.41363525390625,24433.716796875
2017-09-04,417.09173583984375,24370.517578125
2017-09-11,431.3940734863281,24844.01171875
2017-09-18,425.5961608886719,24368.56640625
2017-09-25,421.3030700683594,24052.720703125
2017-10-02,419.9964904785156,24189.71875
2017-10-09,431.8257751464844,24688.86328125
2017-10-16,431.26580810546875,24009.470703125
2017-10-23,417.8849792480469,24839.26171875
2017-10-30,427.1360168457031,25650.400390625
2017-11-06,425.10614013671875,25498.65234375
2017-11-13,425.9344787597656,25728.1015625
2017-11-20,431.96575927734375,25779.3515625
2017-11-27,431.2190856933594,25191.65625
2017-12-04,429.3992004394531,25320.85546875
2017-12-11,437.11041259765625,25440.005859375
2017-12-18,437.8570251464844,25648.251953125
2017-12-25,436.86541748046875,25539.15234375
2018-01-01,434.812255859375,25601.552734375
2018-01-08,435.2088928222656,25748.751953125
2018-01-15,455.4842529296875,26909.1875
2018-01-22,460.792236328125,27445.33203125
2018-01-29,454.5043029785156,26450.84375
2018-02-05,431.52239990234375,25463.353515625
2018-02-12,438.3119201660156,25163.607421875
2018-02-19,438.7669982910156,25302.205078125
2018-02-26,437.3203430175781,24902.26171875
2018-03-05,431.8840637207031,24296.166015625
2018-03-12,432.3390197753906,24489.265625
2018-03-19,429.6676025390625,23670.125
2018-03-26,440.0619201660156,24263.068359375
2018-04-02,448.7646789550781,24872.861328125
2018-04-09,449.13800048828125,25200.306640625
2018-04-16,456.3475341796875,24943.560546875
2018-04-23,448.7646789550781,25394.3046875
2018-04-30,463.9537048339844,25645.1015625
2018-05-07,469.3783264160156,26412.84375
2018-05-14,469.4716796875,25875.298828125
2018-05-21,468.6667175292969,26273.24609375
2018-05-28,492.4418640136719,26692.490234375
2018-06-04,481.2051696777344,26451.04296875
2018-06-11,476.5676574707031,26417.09375
2018-06-18,489.1886291503906,26766.5390625
2018-06-25,495.0823059082031,26363.892578125
2018-07-02,496.6555480957031,26493.541015625
2018-07-09,512.0941162109375,26935.63671875
2018-07-16,514.0078735351562,26872.88671875
2018-07-23,517.0839233398438,27634.080078125
2018-07-30,498.1817626953125,27695.177734375
2018-08-06,496.4911804199219,28123.923828125
2018-08-13,487.7797546386719,28128.224609375
2018-08-20,486.0187072753906,27834.375
2018-08-27,483.9875793457031,28061.423828125
2018-09-03,482.98968505859375,27481.12890625
2018-09-10,476.5676574707031,27163.533203125
2018-09-17,462.63177490234375,25596.603515625
2018-09-24,471.0378723144531,25119.55859375
2018-10-01,461.469482421875,24443.166015625
2018-10-08,465.35552978515625,25395.5546875
2018-10-15,462.044677734375,25085.509765625
2018-10-22,460.5067138671875,24420.767578125
2018-10-29,457.7477111816406,25701.3515625
2018-11-05,456.79681396484375,25770.701171875
2018-11-12,470.62701416015625,26245.24609375
2018-11-19,470.90875244140625,25999.146484375
2018-11-26,499.7784423828125,26862.63671875
2018-12-03,494.8827819824219,26593.9921875
2018-12-10,492.08856201171875,26825.6875
2018-12-17,495.7163391113281,26869.337890625
2018-12-24,498.4752502441406,27124.935546875
2018-12-31,497.195556640625,27194.68359375
2019-01-07,495.892333984375,27453.58203125
2019-01-14,500.2012023925781,27456.380859375
2019-01-21,492.158935546875,27114.986328125
2019-01-28,490.85577392578125,27085.634765625
2019-02-04,498.4165344238281,27294.083984375
2019-02-11,493.2508239746094,26793.939453125
2019-02-18,491.090576171875,26867.23828125
2019-02-25,489.1886291503906,27043.5859375
2019-03-04,499.71978759765625,27761.478515625
2019-03-11,529.02392578125,29381.107421875
2019-03-18,534.4597778320312,29582.15625
2019-03-25,544.497802734375,30426.447265625
2019-04-01,541.3748779296875,30084.30078125
2019-04-08,531.9002685546875,29938.203125
2019-04-15,538.5689086914062,30223.048828125
2019-04-22,535.5868530273438,30013.150390625
2019-04-29,556.0151977539062,29953.802734375
2019-05-06,539.2381591796875,29040.162109375
2019-05-13,554.6416015625,29449.80859375
2019-05-20,557.283203125,31212.1875
2019-05-27,569.4932250976562,31375.03515625
2019-06-03,574.7294311523438,31066.189453125
2019-06-10,571.7825317382812,30613.994140625
2019-06-17,566.8750610351562,30627.994140625
2019-06-24,577.3801879882812,31104.837890625
2019-07-01,584.149169921875,31475.435546875
2019-07-08,565.6022338867188,30601.09375
2019-07-15,561.2902221679688,29770.00390625
2019-07-22,538.0533447265625,29324.958984375
2019-07-29,523.1802368164062,28204.62109375
2019-08-05,540.3637084960938,28431.5703125
2019-08-12,527.5057373046875,28216.671875
2019-08-19,512.1141357421875,26958.337890625
2019-08-26,527.56494140625,27427.53125
2019-09-02,531.8154296875,27247.583984375
2019-09-09,534.5503540039062,28098.423828125
2019-09-16,568.1159057617188,28981.21484375
2019-09-23,589.2379760742188,29876.302734375
